Account,Posting Account,Value Date,Cusip,Security Description,Symbol,Sedol,ISIN,Currency,Country,Bal Type,Type,Temp,Shares,Collateral Price,Collateral Value,Base Rate,Gross Rebate,Stock Loan Fee,Stock Loan Cost,Net Rebate Rate,Net Rebate ,Net Fee ,Net Borrow Cost,Closing Price,Base Collateral Price,Base Collateral Value,Base Gross Rebate,Base Stock Loan Cost,Base Net Rebate,Base Net Borrow Cost,Account Type,RIC,Total Base Stock Loan Cost,Total Base Net Rebate,Total Base Net Borrow Cost
038RAE1J4,038CAESR0,1-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,14987,75.02,1124324.74,2.345,73.24,-0.275,-8.59,2.07,64.65,0,0,75.01,58.41,875335.54,57.02,-6.69,50.33,0,SHORT,DLMAF.PK,-6.69,50.33,0
038RAE1J4,038CAESR0,2-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,14291,76.45,1092546.95,2.345,71.17,-0.275,-8.35,2.07,62.83,0,0,76.45,59.46,849751.66,55.35,-6.49,48.87,0,SHORT,DLMAF.PK,-13.18,99.2,0
038RAE1J4,038CAESR0,3-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,14291,76.77,1097120.07,2.345,71.47,-0.275,-8.38,2.07,63.09,0,0,76.76,59.77,854238.66,55.64,-6.52,49.12,0,SHORT,DLMAF.PK,-19.71,148.32,0
038RAE1J4,038CAESR0,4-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,16100,76.34,1229074,2.355,80.4,-0.275,-9.39,2.08,71.01,0,0,76.33,59.42,956589.49,62.58,-7.31,55.27,0,SHORT,DLMAF.PK,-27.02,203.59,0
038RAE1J4,038CAESR0,5-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,14768,76.03,1122811.04,2.355,73.45,-0.275,-8.58,2.08,64.87,0,0,76.03,58.76,867789.42,56.77,-6.63,50.14,0,SHORT,DLMAF.PK,-33.65,253.73,0
038RAE1J4,038CAESR0,6-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,14768,76.03,1122811.04,2.355,73.45,-0.275,-8.58,2.08,64.87,0,0,76.03,58.76,867789.42,56.77,-6.63,50.14,0,SHORT,DLMAF.PK,-40.28,303.86,0
038RAE1J4,038CAESR0,7-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,14768,76.03,1122811.04,2.355,73.45,-0.275,-8.58,2.08,64.87,0,0,76.03,58.76,867789.42,56.77,-6.63,50.14,0,SHORT,DLMAF.PK,-46.91,354,0
038RAE1J4,038CAESR0,8-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13486,76.11,1026419.46,2.375,67.72,-0.275,-7.84,2.1,59.87,0,0,76.1,59.16,797885.19,52.64,-6.09,46.54,0,SHORT,DLMAF.PK,-53,400.54,0
038RAE1J4,038CAESR0,9-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,12138,76.24,925401.12,2.395,61.56,-0.275,-7.07,2.12,54.49,0,0,76.23,59.14,717782.52,47.75,-5.48,42.26,0,SHORT,DLMAF.PK,-58.49,442.8,0
038RAE1J4,038CAESR0,10-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11468,78.1,895650.8,2.395,59.59,-0.275,-6.84,2.12,52.75,0,0,78.09,61.11,700753.68,46.62,-5.35,41.27,0,SHORT,DLMAF.PK,-63.84,484.08,0
038RAE1J4,038CAESR0,11-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11468,79.18,908036.24,2.395,60.41,-0.275,-6.94,2.12,53.47,0,0,79.17,62.05,711641.09,47.34,-5.44,41.91,0,SHORT,DLMAF.PK,-69.28,525.98,0
038RAE1J4,038CAESR0,12-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11468,79.33,909756.44,2.385,60.27,-0.275,-6.95,2.11,53.32,0,0,79.33,62.09,712068.44,47.17,-5.44,41.73,0,SHORT,DLMAF.PK,-74.72,567.71,0
038RAE1J4,038CAESR0,13-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11468,79.33,909756.44,2.385,60.27,-0.275,-6.95,2.11,53.32,0,0,79.33,62.09,712068.44,47.17,-5.44,41.73,0,SHORT,DLMAF.PK,-80.16,609.45,0
038RAE1J4,038CAESR0,14-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11468,79.33,909756.44,2.385,60.27,-0.275,-6.95,2.11,53.32,0,0,79.33,62.09,712068.44,47.17,-5.44,41.73,0,SHORT,DLMAF.PK,-85.6,651.18,0
038RAE1J4,038CAESR0,15-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11468,81.64,936247.52,2.385,62.03,-0.275,-7.15,2.11,54.87,0,0,81.63,63.24,725197.05,48.04,-5.54,42.5,0,SHORT,DLMAF.PK,-91.14,693.68,0
038RAE1J4,038CAESR0,16-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,12087,82.43,996331.41,2.385,66.01,-0.275,-7.61,2.11,58.39,0,0,82.42,64.17,775581.52,51.38,-5.92,45.45,0,SHORT,DLMAF.PK,-97.06,739.14,0
038RAE1J4,038CAESR0,17-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,12087,82.02,991375.74,2.385,65.68,-0.275,-7.57,2.11,58.1,0,0,82.02,63.58,768523.22,50.91,-5.87,45.04,0,SHORT,DLMAF.PK,-102.93,784.18,0
038RAE1J4,038CAESR0,18-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11313,80.72,913185.36,2.375,60.24,-0.275,-6.98,2.1,53.27,0,0,80.71,62.37,705639.22,46.55,-5.39,41.16,0,SHORT,DLMAF.PK,-108.32,825.34,0
038RAE1J4,038CAESR0,19-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11943,80.75,964397.25,2.375,63.62,-0.275,-7.37,2.1,56.26,0,0,80.75,62.14,742158.03,48.96,-5.67,43.3,0,SHORT,DLMAF.PK,-113.99,868.63,0
038RAE1J4,038CAESR0,20-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11943,80.75,964397.25,2.375,63.62,-0.275,-7.37,2.1,56.26,0,0,80.75,62.14,742158.03,48.96,-5.67,43.3,0,SHORT,DLMAF.PK,-119.66,911.93,0
038RAE1J4,038CAESR0,21-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11943,80.75,964397.25,2.375,63.62,-0.275,-7.37,2.1,56.26,0,0,80.75,62.14,742158.03,48.96,-5.67,43.3,0,SHORT,DLMAF.PK,-125.34,955.22,0
038RAE1J4,038CAESR0,22-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,11943,81.18,969532.74,2.375,63.96,-0.275,-7.41,2.1,56.55,0,0,81.18,62.19,742751.99,49,-5.68,43.32,0,SHORT,DLMAF.PK,-131.01,998.55,0
038RAE1J4,038CAESR0,23-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13135,80.99,1063803.65,2.375,70.18,-0.275,-8.13,2.1,62.06,0,0,80.99,62.47,820551.24,54.13,-6.27,47.87,0,SHORT,DLMAF.PK,-137.28,"1,046.42",0
038RAE1J4,038CAESR0,24-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13135,82.64,1085476.4,2.375,71.61,-0.275,-8.29,2.1,63.32,0,0,82.64,63.69,836606.79,55.19,-6.39,48.8,0,SHORT,DLMAF.PK,-143.67,"1,095.22",0
038RAE1J4,038CAESR0,25-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13135,81.24,1067087.4,2.375,70.4,-0.275,-8.15,2.1,62.24,0,0,81.24,62.79,824801.86,54.41,-6.3,48.11,0,SHORT,DLMAF.PK,-149.97,"1,143.33",0
038RAE1J4,038CAESR0,26-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13815,80.79,1116113.85,2.375,73.63,-0.275,-8.53,2.1,65.11,0,0,80.78,62.02,856753.23,56.52,-6.55,49.98,0,SHORT,DLMAF.PK,-156.52,"1,193.31",0
038RAE1J4,038CAESR0,27-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13815,80.79,1116113.85,2.375,73.63,-0.275,-8.53,2.1,65.11,0,0,80.78,62.02,856753.23,56.52,-6.55,49.98,0,SHORT,DLMAF.PK,-163.07,"1,243.29",0
038RAE1J4,038CAESR0,28-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13815,80.79,1116113.85,2.375,73.63,-0.275,-8.53,2.1,65.11,0,0,80.78,62.02,856753.23,56.52,-6.55,49.98,0,SHORT,DLMAF.PK,-169.62,"1,293.27",0
038RAE1J4,038CAESR0,29-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13815,81.03,1119429.45,2.375,73.85,-0.275,-8.55,2.1,65.3,0,0,81.03,62.3,860718.87,56.78,-6.57,50.21,0,SHORT,DLMAF.PK,-176.19,"1,343.47",0
038RAE1J4,038CAESR0,30-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,13815,81.65,1127994.75,2.375,74.42,-0.275,-8.62,2.1,65.8,0,0,81.64,62.32,860883.97,56.79,-6.58,50.22,0,SHORT,DLMAF.PK,-182.77,"1,393.69",0
038RAE1J4,038CAESR0,31-Aug-22,25675T107,DOLLARAMA  INC. ORDI NARY SHARES (CANADA,DLMAF,B5LJ3K1,CA25675T1075,CAD,CAN,SD,S,C,14744,80.26,1183353.44,2.375,78.07,-0.275,-9.04,2.1,69.03,0,0,80.26,61.17,901894.66,59.5,-6.89,52.61,0,SHORT,DLMAF.PK,-189.66,"1,446.30",0
038RAE1J4,038CAESR0,3-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,18116,6.45,116848.2,2.345,7.61,-4.93,-16,-2.585,-8.39,0,0,6.45,5.02,90980.24,5.93,-12.46,-6.53,0,SHORT,HIVE.O,-12.46,-6.53,0
038RAE1J4,038CAESR0,4-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,45269,7.15,323673.35,2.355,21.17,-7.33,-65.9,-4.975,-44.73,0,0,6.32,5.56,251915.28,16.48,-51.29,-34.81,0,SHORT,HIVE.O,-63.75,-41.35,0
038RAE1J4,038CAESR0,5-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,73896,6.51,481062.96,2.355,31.47,-11.28,-150.73,-8.925,-119.27,0,0,6.51,5.03,371800.18,24.32,-116.5,-92.18,0,SHORT,HIVE.O,-180.24,-133.53,0
038RAE1J4,038CAESR0,6-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,73896,6.51,481062.96,2.355,31.47,-11.28,-150.73,-8.925,-119.27,0,0,6.51,5.03,371800.18,24.32,-116.5,-92.18,0,SHORT,HIVE.O,-296.74,-225.71,0
038RAE1J4,038CAESR0,7-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,73896,6.51,481062.96,2.355,31.47,-11.28,-150.73,-8.925,-119.27,0,0,6.51,5.03,371800.18,24.32,-116.5,-92.18,0,SHORT,HIVE.O,-413.23,-317.89,0
038RAE1J4,038CAESR0,8-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,73896,7.12,526139.52,2.375,34.71,-12.53,-183.13,-10.155,-148.41,0,0,7.11,5.53,408993.54,26.98,-142.36,-115.37,0,SHORT,HIVE.O,-555.59,-433.25,0
038RAE1J4,038CAESR0,9-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,73896,7.1,524661.6,2.395,34.9,-10.88,-158.56,-8.485,-123.66,0,0,7.09,5.51,406951.02,27.07,-122.99,-95.92,0,SHORT,HIVE.O,-678.57,-529.17,0
038RAE1J4,038CAESR0,10-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,73896,7.75,572694,2.395,38.1,-13.43,-213.65,-11.035,-175.55,0,0,7.75,6.06,448073.55,29.81,-167.16,-137.35,0,SHORT,HIVE.O,-845.73,-666.52,0
038RAE1J4,038CAESR0,11-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,73896,8.06,595601.76,2.395,39.62,-13.53,-223.85,-11.135,-184.22,0,0,8.05,6.32,466781.68,31.05,-175.43,-144.38,0,SHORT,HIVE.O,"-1,021.17",-810.9,0
038RAE1J4,038CAESR0,12-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,63507,9.18,582994.26,2.385,38.62,-13.98,-226.4,-11.595,-187.77,0,0,9.17,7.19,456310.94,30.23,-177.2,-146.97,0,SHORT,HIVE.O,"-1,198.37",-957.86,0
038RAE1J4,038CAESR0,13-Aug-22,43366H704,HIVE BLOCKCHAIN TECH NOLOGIES,HIVE,BNHP763,CA43366H7040,CAD,CAN,SD,S,H,63507,9.18,582994.26,2.385,38.62,-13.98,-226.4,-11.595,-187.77,0,0,9.17,7.19,456310.94,30.23,-177.2,-146.97,0,SHORT,HIVE.O,"-1,375.58","-1,104.83",0
